pali	grammar_y	meaning_y	from_y	exists
dīghānusayita	adjective	persistent for a long time		right_only
dīghānusayī	adjective	persistent for a long time		right_only
dīghāyuka	adjective (f.        ~ī)	long lived		right_only
dīnamana	adjective	distressed in mind; dejected		right_only
dīpikā	masculine	covered in panther or leopard skin		right_only
dīpī	masculine	a panther; a leopard		right_only
dīyamāna	present participle adjective	being given	dīyati	right_only
duosārita	adjective	improperly readmitted	['dusārita', 'osārita']	right_only
dukathā	feminine	a wrong discourse, harmful talk	kathā	right_only
dukanipāta	masculine	a section consisting of sets of two		right_only
dukūlasandāna	adjective	with halters of dukūla cloth (?); with coverings of dukūla cloth (?)		right_only
dukkaratara	adjective, comparative	harder to do; more difficult		right_only
dukkhakkhanda	masculine	the agglomeration of dukkha; a mass of discomfort or distress		right_only
dukkhatta	neuter, abstr	the being painful or difficult		right_only
dukkhadhivaha	adjective	bringing, producing dukkha		right_only
dukkhadhivāha	adjective	bringing, producing dukkha		right_only
dukkhadhivāha	adjective	difficult to bring or lead towards (?)		right_only
dukkhabhikiṇṇa	adjective	overwhelmed by desires		right_only
dukkhavepakka	adjective	having painful or unpleasant consequences		right_only
dukkhāvaha	adjective	bringing dukkha		right_only
dukkhindriya	neuter	the faculty of pain, of distress		right_only
dukkhupasamana	adjective	extinguishing dukkha		right_only
dukkhetta	neuter	poor, infertile land	khetta	right_only
duggatigamana	adjective & neuter	going to a wretc.hed existence		right_only
duggatigāmin	adjective	leading to a wretc.hed existence		right_only
duggaha	masculine	taking hold of wrongly; a bad seizing	gaha	right_only
duggahīta	adjective & neuter	taken improperly; grasped badly or wrongly; wrongly apprehended; what is wrongly grasped, a mistaken opinion or belief,		right_only
duccara	adjective	difficult to practice, hard to do	cara	right_only
duccintitacintī	adjective	thinking bad or foolish thoughts	cintita	right_only
duccola	adjective	wearing poor clothes; wearing a robe made from poor cloth		right_only
dujjāta	adjective	of ignoble birth; ignoble	jāta	right_only
dujjivīta	neuter	a hard life; a miserable life; an evil life		right_only
duṭṭhagahaṇika	adjective	whose digestion is upset	duṭṭha	right_only
duṭṭhullagāhī	adjective	holding to what is wrong		right_only
duṭṭhullabhāṇī	adjective	of unseemly speech; speaking lewdly		right_only
dutiyakaṃ	adverb	a second time, further		right_only
dutiyakulika	adjective (masculine)	(one) belonging to a second, another, family		right_only
duttakkita	adjective	incorrectly conjectured; badly thought out		right_only
duttappaya	adjective	hard to satisfy		right_only
duddamiya	adjective	hard to tame or manage		right_only
duddikkha	adjective	hard to look at		right_only
duddiṭṭharūpa	neuter	an extremely bad sight		right_only
duddhakhīra	adjective	with the milking done, who has milk (from the cow)		right_only
dunnaya	adjective	hard to infer or interpret		right_only
dunnikkhama	adjective	hard to get out		right_only
dunnikkhasa	adjective	hard to draw out or extract		right_only
dunnissārita	adjective	incorrectly suspended	nissarati	right_only
dupaṭṭhāka	adjective	difficult to attend or nurse	['dūpaṭṭhāka', 'upaṭṭhāka']	right_only
dupaṇṇa	adjective	with two leaves		right_only
duputta	adjective	with two sons		right_only
duppajaha	adjective	hard to give up		right_only
duppaṭimantiya	adjective	hard to answer or refute; hard to argue with		right_only
duppaṭivinodaya	adjective	hard to get rid of		right_only
duppaṭivinodiya	adjective	hard to dispel, get rid of		right_only
duppadālaya	adjective	hard to pierce, to tear apart		right_only
duppariyogāha	adjective	hard to go deeply into; hard to reach the bottom of, hard to fathom		right_only
dubbalaka	adjective	(one) who is week, of little strength		right_only
dubbalīkarana	adjective (f.        ~ā, ī), n	(adjective) weakening		right_only
dubbalīkarana	adjective (f.        ~ā, ī), n	(neuter feminine) the weakening (of)		right_only
dubbinodaya	adjective	hard to drive away or dispel		right_only
dubbisodha	adjective	hard to clean		right_only
dubbuddhī	adjective	foolish; ignorant		right_only
dubbha	adjective & neuter	injuring, hurting, deceiving		right_only
dubbhida	adjective	difficult to be broken or torn asunder		right_only
dubhatomukha	indeclinable	with an opening on both sides		right_only
dubhayaṃ	accusative	as well (?)		right_only
dumavhaya	adjective	(who) is named after a tree		right_only
dumāsika	adjective	of two months growth		right_only
dumāsikaṃ	indeclinable	within two months (?)		right_only
durativatta	adjective	hard to get beyond		right_only
duradhigama	adjective	hard to attain		right_only
duradhivāsa	adjective	hard to live in		right_only
duranubodha	adjective	hard to understand		right_only
duranurakkhiya	adjective	hard to protect or guard		right_only
durābhaṭṭha	adjective	badly or wrongly spoken		right_only
durupasaṅkama	adjective	hard to approach		right_only
durupeta	adjective	in an evil state; ill-endowed	['durūpeta', 'upeta']	right_only
durubbaha	adjective	hard to extract		right_only
duropaya	adjective	difficult to heal		right_only
dullabhatara	adjective, comparative	more difficult to obtain; very rare		right_only
duvagga	masculine & adjective	a group of two; consisting of a group of two		right_only
duvassa	adjective	of two years’ standing; one who has been ordained for two years		right_only
duvijātā	adjective (feminine)	a woman who has given birth twice		right_only
duviññapaya	adjective	difficult to teach		right_only
duvidhena	adverb	in two ways; as of two kinds; in a twofold way		right_only
dussaṃhara	adjective	hard to collect hard; hard to gather together		right_only
dussacālanī	feminine	a cloth sieve		right_only
dussaddhāpaya	adjective	hard to convince; hard to make believe		right_only
dussapata	masculine	a cloth screen		right_only
dussapallaṭṭhikā	feminine	a posture held with the help of a cloth		right_only
dussaveṇi	feminine	a twist of plait of a cloth		right_only
dūtaka	masculine	a messenger		right_only
dūtopasampadā	feminine	ordination by means of a messenger or proxy		right_only
dūpaṭṭhāka	adjective	difficult to attend or nurse	['dupaṭṭhāka', 'upaṭṭhāka']	right_only
dūraṃ	adverb	a long way; far		right_only
dūratara	adjective, comparative	further away; more distant		right_only
dūrā	ablative adverb	from afar; at a distance		right_only
deḍḍubhaka	masculine	a water snake; a kind of lizard		right_only
deḍḍubhaka	masculine	a kind of girdle or belt		right_only
detar	masculine	one who gives		right_only
devagaharaka	adjective	who disparages the devas		right_only
devajigucchaka	adjective	who dislikes or disapproves of the gods		right_only
devatuposatha	masculine	an act of purification in the presence of the gods		right_only
devadhammika	adjective (masculine)	a member of a particular sect (of ascetics ?)		right_only
devayāniya	adjective	leading to the devas		right_only
devalokagamanīya	adjective	leading to the world of the devas		right_only
devasadda	masculine	shout of the devas; sound of the devas; thunder		right_only
desanāgāmī	adjective	requiring, expiated by, confession or acknowledgment		right_only
desāpeti	present 3 singular	makes teach or expound; makes assign; makes tell or confess		right_only
desitavatthuka	adjective	on a site pointed out or specified		right_only
doṇī	feminine	a wooden trough or tub; a trough		right_only
doṇī	feminine	the body or belly of a vīṇā		right_only
domanassaṭṭhāniya	adjective	being a cause of dejection		right_only
domanassavedaniya	adjective	entailing feelings of dejection		right_only
domanassindriya	neuter	the sensation faculty of dejection; unhappiness		right_only
doḷasa	number	twelve		right_only
doḷasaka	neuter	a set of twelve		right_only
dosagati	feminine	a wrong course of behavior because of ill-will		right_only
dosanīya	adjective	producing ill-will or hostility; causing anger		right_only
dosapakata	adjective	produced, influenced by ill-will		right_only
dosahetuka	adjective	caused by ill-will		right_only
dosārita	adjective	improperly readmitted	['osārita', 'du-osārita']	right_only
dosināpunnamāsī	feminine	a clear full-moon night		right_only
dohala	masculine & neuter	a craving in pregnancy; what is craved		right_only
dvaṅgulakappa	masculine	two finger-breadth practice		right_only
dvaṅgulapañña	adjective	with ‘two finger’ understanding (with little understanding; or whose understanding is in her two fingers)		right_only
dvayakārī	adjective	doing both (good and bad actions)		right_only
dvayagāmī	adjective	involving a double meaning or falsehood		right_only
dvayena	adverb	in two ways; as of two kinds	dvaya	right_only
dvākāra	adjective	of poor appearance; with poor characteristics		right_only
dvākkhāta	adjective	badly preached, incorrect		right_only
dvādasaka	neuter	a set of twelve		right_only
dvādasaka	adjective (f. ~ī)	consisting of twelve		right_only
dvādasakī	adjective (f. ~ī)	consisting of twelve		right_only
dvādasanahuta	adjective & neuter	(numbering) 120, 000		right_only
dvādasaporisa	adjective	measuring the height of twelve men		right_only
dvādasamāsika	adjective	consisting of twelve months		right_only
dvādasayojana	adjective	extending twelve yojanas		right_only
dvādasavassa	adjective	twelve years old		right_only
dvādhiṭṭhita	adjective	improperly taken possession of	adhiṭṭhita	right_only
dvārabhatta	neuter	food placed before the door		right_only
dvāvīsa	number	twenty two		right_only
dvāvīsatima	adjective	the 22nd		right_only
dvicatu	number	two times four, eight		right_only
dvicaturaṅgagāmī	adjective	which moves with eight constituent parts (?); which leads those with eight characteristics (?)		right_only
dvijāti	adjective (masculine)	having two births; a brahman		right_only
dvitālaṃ	indeclinable	to the height of two palm trees		right_only
dvittā	indeclinable	doubly so; twofold; indeed, certainly		right_only
dvittikkhattuṃ	indeclinable	two or three times		right_only
dvidugamavaratarahanutta	neuter	having the jaw of the best of the quadrupeds		right_only
dvipad	adjective (masculine)	having two feet, a biped		right_only
dviporisaṃ	adjective	to the height of two men		right_only
dvimūlaka	adjective	having two roots; having two bases		right_only
dviyojanasatika	adjective	measuring 200 yojanas		right_only
dvisamuṭṭhānika	adjective	having two fold origin; originating from two		right_only
dvisahassakkhattuṃ	indeclinable	2000 times		right_only
dvīhapaṭicchanna	adjective	concealed for two days		right_only
dvecattāḷīsa	feminine number	forty two		right_only
dvedhikajāta	adjective	holding two opinions; separated into two sides		right_only
dvepaññāsa	number	fifty two		right_only
dvemāsa	neuter	a period of two months		right_only
dvevassatāyuka	adjective	having a lifespan of 200 years		right_only
dvevassahassāyuka	adjective	having a lifespan of 2000 years		right_only
dvevīsati	number	twenty two		right_only
dvesattati	number	seventy two		right_only
dhaṃseti	causative present 3 singular	dares to attack; offends	dhamsati	right_only
dhaṃseti	causative present 3 singular	makes fall; deprives of; destroys; scatters, disperses	dhamsati	right_only
dhaṅkarūpa	adjective	with the appearance of a crow		right_only
dhajabandha	adjective	marked; notorious (?)		right_only
dhajī	~inī, feminine	bearing standards, an army		right_only
dhaññakarana	neuter	a threshing floor		right_only
dhaññasamavāpaka	neuter	grain and seeds		right_only
dhandhañña	neuter	money and grain		right_only
dhanavanta	adjective	wealthy, rich		right_only
dhanahāraka	adjective	taking money; going to take money		right_only
dhanusata	neuter	a 100 bow-lengths		right_only
dhamanisantha	adjective	covered, spread with veins; with prominent veins, i.e. emaciated		right_only
dhammakaraka	masculine	a water-vessel		right_only
dhammketu	adjective	with dhamma as one’s banner		right_only
dhammagarahī	adjective	blaming, finding fault with, dhamma		right_only
dhammagārava	n & adjective	(neuter) respect for dhamma		right_only
dhammagārava	n & adjective	(adjective) respectful, obedient to, dhamma		right_only
dhammacintanā	feminine	reflection on, examination of, dhamma		right_only
dhammcudita	adjective & masculine	(a bhikkhu) accused of an offense properly, by the rules		right_only
dhammacodaka	adjective & masculine	(a bhikkhu) who accuses (someone) of an offense properly, by the rules		right_only
dhammatta	neuter, abstr	the being legal or valid, the being according to the rule		right_only
dhammatthenaka	masculine	a thief of dhamma (who enters the saṅgha dishonestly)		right_only
dhammatthera	masculine	an elder in dhamma, one venerable because of his qualities		right_only
dhammaddasa	adjective	seeing, understanding, dhamma		right_only
dhammadhipa	adjective	with dhamma as master; guided by dhamma		right_only
dhammanisanti	feminine & adjective	attending carefully to dhamma		right_only
dhammanupassī	adjective	observing, considering, dhammas		right_only
dhammanusārī	adjective	who follows dhamma; who develops understanding		right_only
dhammanussati	feminine	calling dhamma to mind		right_only
dhammanetti	feminine	the leading rope, the guiding rope, that is dhamma (?)		right_only
dhammapaṭirūpaka	neuter	a false representation of the teachings or the rule		right_only
dhammapaṭisaṃyutta	adjective	connected with dhamma		right_only
dhammabhisamaya	masculine	right understanding of dhamma		right_only
dhammayāgī	adjective (masculine)	(one) who offers dhamma		right_only
dhammasandosa	masculine	defilement of, damage to, dhamma		right_only
dhammasārī	adjective	following dhamma (?); impelling dhamma (?)		right_only
dhammādhipatteyya	n & adjective	(neuter) control by dhamma		right_only
dhammādhipatteyya	n & adjective	(adjective) with dhamma as controlling influence		right_only
dhammiyamāna	adjective	acting in accordance with dhamma, with the rule		right_only
dhammūpahāra	adjective	the presenting of ideas, images, or of the teachings		right_only
dhāticela	neuter	a nurse’s garment		right_only
dhāniya	neuter	grain; corn		right_only
dhārīyati	passive present 3 singular	is carried; is held	dhareti	right_only
dhāva	masculine	running, racing		right_only
dhitimanta	adjective; singular/plural nominative ~ma, ~manto	steadfast, firm, resolute		right_only
dhītumaraṇa	neuter	the death of a daughter or of daughters		right_only
dhīrūpasevanā	feminine	association with the wise		right_only
dhutaṅgakilesa	adjective	who has shaken off, destroyed the defilements		right_only
dhutaṅgaguṇa	masculine	an ascetic practice		right_only
dhutaṇgavāda	adjective	speaking of, preaching dhutaṅgas; instructing in ascetic practices		right_only
dhuna		part of the cutting instrument (?); part of the nose (?)		right_only
dhuravanta	adjective	carrying one’s burden, undertaking responsibility		right_only
dhurasamādhi	masculine	proper alignment, evenness of the yoke		right_only
dhurassaha	adjective	bearing the pole or yoke		right_only
dhuvacolā	adjective (feminine)	constantly wearing a menstruation cloth		right_only
dhuvaṭṭhāniya	adjective	belonging to a fixed place		right_only
dhuvabhatta	neuter	regular food; a guaranteed meal (for a particular person?)		right_only
dhuvabhattika	adjective	having a regular supply of meals		right_only
dhuvayāgu	feminine	a regular gift of rice gruel		right_only
dhūmaggi	masculine	a smoky fire (?); flames enveloped in smoke (?)		right_only
dhūmakālikaṃ	adverb	until death or cremation (or adjective, lasting until cremation (?)		right_only
dhūmāyanā	feminine	smoking, smoldering; pondering		right_only
dhūmāyita	past participle adjective	obscured, darkened (as if by smoke); hot, suffering		right_only
dhenupaka	masculine/feminine	a suckling calf		right_only
dhotapaccatthara	neuter	a rug (for when one has) washed feet (?)		right_only
dhotapādaka	n & adjective	(neuter) something to step on after washing one’s feet		right_only
dhotapādaka	n & adjective	(adjective) with washed feet; requiring clean feet		right_only
dhorayhavatā	feminine	the being (like) one who is fit to bear a burden (?)		right_only
dhovanā	feminine	(an instrument) for washing		right_only
nakkhattaggāha	masculine	obscuring, occultation, of a star or a pattern or a group of stars		right_only
nakkhattapada	neuter	constellation; a lunar mansion		right_only
nakkhattamālī	adjective	with a garland of stars		right_only
nakhaccedana	neuter	an instrument for cutting nails		right_only
nakhapiṭṭhikā	feminine	the back of a nail		right_only
nagaraghāta	masculine	plundering of a town		right_only
nagarapaṭisaṅkhārika	adjective	repairs to the city		right_only
nagarabhandana	neuter	restraint in a town; restriction in a town		right_only
nagarūpakārikā	feminine	(according to commentary) a town protected with bastions		right_only
nagāntare	indeclinable	among mountains		right_only
naggacarīya	feminine	going about naked, the practice of nakedness		right_only
naṅgalakaṭṭhakaraṇa	neuter or adjective	(a place) where there has been plowing (?)	naṅgala	right_only
naṅgalāvatta	neuter	the turning track of the plow	naṅgala	right_only
naṅgalāvattanī	adjective	turning the plow	naṅgala	right_only
naṅgalāvattanī	adjective	swishing its tail	naṅgala	right_only
na ciraṃ	phrase	not after a long time; soon	ciraṁ	right_only
naṭṭaki	masculine/feminine	a dancer; an acrobat; an entertainer		right_only
naṭṭhacīvarikā	adjective (feminine)	whose robe is lost		right_only
nattamahaṃ	indeclinable	by day and night		right_only
natthukaraṇī	feminine	a nasal-dropper		right_only
nadikā	feminine	a river; a small river		right_only
nandiṃjaha	adjective	abandoning enjoying		right_only
nandimukhīratti	adjective (feminine) (?)	daybreak		right_only
nabhasigama	adjective	going in the sky		right_only
namataka	neuter	a felt covering for a knife		right_only
namucī	masculine	the name of an asura; the name of māra		right_only
nala	masculine	a species of read; great reed, arundo donax l; reed; rushes; reeds in general		right_only
nalāṭika	feminine	gesture on the forehead; a frown		right_only
nalakalāpī	feminine	a bundle or sheaf of reads		right_only
navakanipāta	masculine	a section consisting of sets of nine	navaka	right_only
navaggaha	adjective	freshly or recently caught	nava	right_only
navaṭṭhānika	adjective	connected with nine occasions or matters	nava	right_only
navanava	adjective	ever new; quite new; one new after another	nava	right_only
navanivesa	masculine	a new residence	nava	right_only
navappāya	masculine	being mainly novices	nava	right_only
navamūlaka	adjective	with nine bases, with nine roots	nava	right_only
navaratta	adjective	newly dyed	nava	right_only
navasota	adjective	with nine apertures	nava	right_only
navaha	masculine	a period of nine days	nava	right_only
navahapaṭicchanna	adjective	concealed for nine days	nava	right_only
navahā	adjective	within nine days	nava	right_only
navāvuta	adjective	newly woven	nava	right_only
navutiṃ	feminine, num	ninety		right_only
nassanadhamma	adjective	liable to perish, to disappear		right_only
nahānagaruka	adjective	thinking bathing important		right_only
nahāniyacuṇṇa	adjective	bathing powder		right_only
nahāyitar	masculine	one who washes, who bathes	nāhayati	right_only
nahārudaddula	masculine	a strip or shred of sinew		right_only
nāgadantaka	masculine	a peg; a hook		right_only
nāgapacāra	masculine	an attendant on a nāga		right_only
nāgapalokita	neuter	an elephant’s look (turning the whole body)		right_only
nāgavatā	feminine	the being (like) an elephant (?)		right_only
nāgavanika	masculine	a forester; an elephant tracker		right_only
nāgahata	adjective	who has struck or killed the mighty being		right_only
nāginī	feminine	a female snake; a female nāga-snake		right_only
nāgī	feminine	a female snake; a female nāga-snake		right_only
nātaputta	masculine	mahāvīra, leader of the jains)		right_only
nātaputtiya	adjective (masculine/feminine)	a follower of mahāvīra		right_only
nāthakaraṇa	adjective	producing a support, making for protection		right_only
nānattavaṇṇī	adjective	of various colors or appearance		right_only
nānattasaññī	adjective	having different perceptions or notions		right_only
nānadhimuttikatā	feminine, abstr	the state of having various inclinations or intents		right_only
nānā atthi	phrase	is separated; is different, is distinct		right_only
nānākhantika	adjective	holding various or different preferred views		right_only
nānācaya	adjective	consisting of various mixtures		right_only
nānādiṭṭhika	adjective	holding various (false) views or theories; holding different views		right_only
nānārajja	masculine or neuter	a surgical probe (?)		right_only
nānārucika	adjective	having various wishes; having different aims		right_only
nānāverajjaka	adjective	from various different kingdoms		right_only
nānāverajjagata	adjective	gone to various different kingdoms		right_only
nābhasa	adjective	celestial, being in the sky		right_only
nāmaṃ gaṇhāti		names, mentions or addresses by name	nama	right_only
nāmarūpajātika	adjective	born from name and form		right_only
nārīsahanāmasavhaya	adjective	called by a feminine name		right_only
nālikasaṇḍāsa	neuter	a blowing pipe and tongs		right_only
nāḷikāgabbha	masculine	a kind of (oblong) inner room		right_only
nāḷikāsaka	neuter	a kind of (prepared) vegetable		right_only
nāḷī	feminine	a hollow stalk, a tube, a pipe; a tubular container; a measure of capacity		right_only
nāsanāntika	adjective	defined by loss or destruction		right_only
nāsikāloma	feminine	nostril hair		right_only
nāsikāsota	neuter	a nostril		right_only
nikaṭṭhakāya	adjective	physically controlled		right_only
nikaṭṭhacitta	adjective	mentally controlled		right_only
nikaṇṇikāṃ	accusative adverb	in the ear; in whispers		right_only
nikiṇṇa	adjective	thrown down; put down; placed		right_only
nikujja	adjective	‘with the (hollow side of the) curve facing down’; face downwards, upside down		right_only
nikujjati	present 3 singular	tums upside down, overturns; places face downwards; ~ especially tums (a layman’s bowl) upside down, refuses alms (with a formal act of the saṅgha)		right_only
nikujjati	present 3 singular	rejects(?) puts aside, stores		right_only
nikujjita	past participle adjective	turned upside down, overturned; face downwards	nikujjitati	right_only
nikujjanā	feminine, ~a, neuter	placing (the bowl of a layman) face downwards; over turning		right_only
niketacārika	adjective	ranging from its home (in)		right_only
niketavanta	adjective	having a dwelling		right_only
niketī	adjective	having a home; (one) who has a long connection with		right_only
nikkaṭṭha	past participle adjective	drawn away; withdrawn		right_only
nikkaṭṭhakāya	adjective	physically withdrawn or apart		right_only
nikkaṭṭhacitta	adjective	mentally withdrawn or apart		right_only
nikkamati	present 3 singular	exerts oneself		right_only
nikkaruṇā	adjective	without compassion	karuṇā	right_only
nikkasava	adjective	free from defect or impurity	kasāva	right_only
nikkāmi	adjective	without desires; without sensual pleasures		right_only
nikkhanti	feminine	getting out (from); emerging		right_only
nikkhipita	past participle adjective	laid or set down; thrown down		right_only
nikkhippagāmī	adjective	laid down when one goes		right_only
nigaṇṭhī	f	a female Jain ascetic		right_only
nigaṇṭhūposata	masculine	a fast-day, a day of purification for jains		right_only
nigamaghāta	masculine	a plundering of a town, marauding		right_only
nigāḷhika	adjective	(according to commentary) emerged from		right_only
niccagginī	adjective	having a permanent, constant, fire		right_only
niccanavaka	adjective	constantly new; always like a newcomer		right_only
niccabhattaka	neuter	constant food, food given always		right_only
niccabhattika	adjective	taking food (there) always		right_only
nicchayaṃ	adverb	certainly		right_only
nicchavi	adjective	without an outer skin; skinless	chavi	right_only
nicchāretar	masculine	one who utters; emits		right_only
nicchuddha	past participle adjective	thrown out; expelled		right_only
nicchedeti	causative present 3 singular	makes to remove; makes to separate away		right_only
nicchodeti	present 3 singular	strikes against, knocks; shakes out		right_only
nijigiṃsanaka	adjective	wishing to acquire; covetous		right_only
nijigiṃsana	present participle adjective	wishing to acquire; coveting		right_only
nijigiṃsitar	masculine	one who wishes to acquire; who covets		right_only
nijjhāpana	neuter	making understand; convincing; winning over		right_only
nijjhāma	past participle adjective	burnt; burning		right_only
niṭṭhāgata	adjective	decided, certain, convinced		right_only
niṭṭhānantika	adjective	defined by completion		right_only
nitthiṇṇaogha	adjective	who has crossed the torrent or flood		right_only
nitthuna	masculine	groaning		right_only
niddassa	adjective	a term of praise for an ascetic; (not ten ? without ten ? more than ten?; not in a (conventional) stage of life?)		right_only
niddāpetabba	future passive participle adjective	cut; weeded		right_only
niddāyitabba	future passive participle adjective	cut; weeded		right_only
niddhantakasāvamoha	adjective	with impurity and delusion got rid of		right_only
niddhantamala	adjective	with stains got rid of, without stain		right_only
niddhovati	present 3 singular	washes, washes off; gets rid off		right_only
nidhānakusala	adjective	good, skillful at laying by, storing; keeping		right_only
nidhānavatī	adjective (feminine)	containing treasure(?) (like treasure(?)) (according to commentaries) worth storing or treasuring		right_only
nindārosa	masculine	fault-finding and offending		right_only
nindārosī	adjective	fault-finding and offensive		right_only
nindāvyārosaupārambhabhaya	neuter	fear of fault-finding, insult and criticism		right_only
ninneti	present 3 singular	leads or takes away; takes out; drains; ascertains		right_only
ninhāta	adjective	washed, cleansed		right_only
ninhātapāpaka	adjective	cleansed off evil		right_only
nipaccavādī	adjective	speaking humbly; speaking hurtfully?		right_only
nipajjā	feminine	lying down	nipajjati	right_only
nipannokasa	masculine	the place where (someone) lies or is lying down		right_only
nippacati	present 3 singular	cooks; infuses		right_only
nippatati	present 3 singular	flies out, rushes out; falls out; departs, hastens away		right_only
nippatita	adjective	flown out; hastened away	nippatati	right_only
nippīḷiyamāna	passive present participle adjective	presses; squeezes		right_only
nippesika	masculine	one who solicits gifts in an inappropriate way; (according to commentaries) one who grinds or scrapes away, who belittles or denies the good qualities of others for his own advantage)		right_only
nipphadā	feminine	accomplishment; completion		right_only
nipphoteti	present 3 singular	dashes down; crushes		right_only
nipphaṭati	present 3 singular	moves from its place; falls		right_only
nipphannasobhana	adjective	splendid when accomplished		right_only
nibaddhatelaka	adjective	dressed with oil?		right_only
nibādhayati	present 3 singular	oppresses; harasses		right_only
nibodheti	causative present 3 singular	teaches, instructs; rouses		right_only
nibbakosa	masculine	the gutter, the edge, of the eaves; the shelter of the eaves(?)		right_only
nibbattabīja	adjective	with the seed removed; (or with the seed fully developed?)		right_only
nibbahati	present 3 singular	carries out; carries along; flows out		right_only
nibbānagama	adjective	going, leading to nibbāna		right_only
nibbānagamī	adjective	going to nibbāna; leading to nibbāna		right_only
nibbānapaṭisaṃyutta	adjective	connected with, concerned with; nibbāna		right_only
nibbāhi	aorist 3 singular	torn out; plucked out		right_only
nibbāhetvā	absolutive	having torn out; having plucked out		right_only
nibbiṭṭha	past participle adjective	(what is) paid; paid off; earned	nibbisati	right_only
nibbiṭṭharājabhaṭa	adjective	whose service to the king had been recompensed or paid off(?)		right_only
nibbinda	adjective & masculine	(adjective) being dissatisfied or disgusted; weary; turning away		right_only
nibbinda	adjective & masculine	(masculine) dissatisfaction; disgust; turning away		right_only
nibbinnarūpa	adjective	very disgusted with; weary of		right_only
nibbujjhati	present 3 singular	wrestles		right_only
nibbuddha	neuter	wrestling; a wrestling match		right_only
nibbedhabhāgiya	adjective	belonging to, conducing to, penetration		right_only
nibbenjanīya	adjective	connected with recoiling; connected with despondency; giving up		right_only
nimittaṃ karoti	phrase	makes a sign; marks; indicates; distinguishes		right_only
nimittaṃ gaṇhāti	phrase	marks, apprehends the characteristic features; apprehends an object or appearance (as distinguished in various ways); distinguishes, identifies an object or appearance		right_only
nimittaggāha	masculine	apprehending, responding emotionally to, an object or appearance; grasping, occupying oneself with, external features or characteristics; exclusive concentration (on, locative); being completely taken up (by, locative)		right_only
nimittanusārī	adjective	following attributes		right_only
nimissaṃ	1 singular	barter; exchange for		right_only
nimbapaṇṇa	neuter	a leaf of the neem tree		right_only
nimbabīja	neuter	a seed of the neem tree		right_only
nimmajjati	present 3 singular	rubs or wipes off		right_only
nimmadeti	present 3 singular	humbles; subdues		right_only
nimmāta	past participle adjective	created	nimmināti	right_only
nimmānaratino	masculine plural	the name of a group of devas		right_only
nimmānāyati	present 3 singular	becomes humble, subdued; is humbled		right_only
nimmināti	present 3 singular	produces, forms, creates (by magic or supernatural power)		right_only
niyatāyuka	adjective	whose lifetime is fixed		right_only
niyassa	adjective	(a formal act of the saṅgha) conferring disgrace, loss of status; (or requiring effort)		right_only
niyassaka	neuter	a formal niyassa act		right_only
niyassakamma	neuter	a formal act of the saṅgha conferring loss of status; disgracing, reprimanding		right_only
niyassakammakata	adjective	dealt with by a formal act of the saṅgha conferring loss of status		right_only
niyyatta	adjective	given; yielded		right_only
niragamā	aorist 3 singular	went out; left; came out, emerged, appeared		right_only
nirabbudda	adjective	(metaphor.) free com cancers, healthy	abbudda	right_only
nirayagāmanīya	adjective	leading to hell		right_only
nirasassāda	adjective	not bringing enjoyment; without relish; listless		right_only
nirādīnava	adjective	free from danger	ādīnava	right_only
nirupatāpa	adjective	without pain, without trouble		right_only
nirupadhika	adjective	free from attachments; free from belongings		right_only
nirodhana	adjective	cessation; obstructing, making cease		right_only
nirodhetabba	future passive participle adjective (neuter)	destroying; dissolving; annihilating		right_only
nilacchita	past participle adjective	castrated	nilaccheti	right_only
nilaccheti	present 3 singular	castrates; marks		right_only
niluñchita	past participle adjective	castrated	nilaccheti	right_only
nillacchita	past participle adjective	castrated	nilaccheti	right_only
nillāletvā	absolutive	having wagged (the tongue); having moved the tongue to and fro		right_only
nivattabīja	adjective	whose seed is inoperative?		right_only
nivattāpeti	causative present 3 singular	Makes to return, turn round, turn back; makes give up; makes to stop, ceases; makes to turn away from		right_only
nivapati	present 3 singular	throws down; scatters		right_only
nivissavāda	adjective	speaking insistently, dogmatically	nivisati	right_only
nivutabrahmaloka	adjective	who is kept from the brahma world		right_only
nivutta	adjective	shaved, cut off		right_only
nivutta	past participle adjective	thrown down; scattered	nivapati	right_only
nivuttakesa	adjective	whose hair has been shaved off	nivutta	right_only
nivusita	past participle adjective	having lived, stayed	nivasati	right_only
nisadā	feminine, ~a, neuter	a stone for grinding, a (lower) millstone		right_only
nisadāpota	masculine	a stone for grinding; an (upper, smaller) millstone or stone roller		right_only
nisanti	feminine	(close) observation; careful attention		right_only
nisabhavatā	feminine	the being (like) a bull?		right_only
nisāmakajātika	adjective	naturally disposed to attending carefully; given to closely observing		right_only
nissinnokasa	masculine	the place where (someone) sits or is sitting or has sat	nisinna	right_only
nisīditar	masculine	one who sits	nisīdati	right_only
nisumbhati	present 3 singular	knocks down; treads down		right_only
nisedhati	present 3 singular	prevents; prohibits; suppresses		right_only
nissajjati	present 3 singular	lets go; gives up; hands over; surrenders; lets fly, throws		right_only
nissajjeta	adjective	to be given up, renounced?		right_only
nissayakaraṇīya	adjective	requiring (formally acquired) supervision, requiring a mentor		right_only
nissayana	neuter, ~ā, feminine	depending on, relying on; dependence	nissayati	right_only
nissayasampanna	adjective	having a support; having supporters or mentors		right_only
nissaraṇīya	adjective	connected with, conducive to, separation, getting rid of, escape		right_only
